Unnamed: 0,0,1,2,BERT_SCORE
16,"skupnost je pomemben dobavitelj gospodarske, finančne, tehnične, humanitarne in makroekonomske pomoči tretjim državam.","skupnost je pomemben vir gospodarske, finančne, tehnične, humanitarne in makroekonomske pomoči tretjim državam.",0.7539221180326288,0.99845576
17,Novica je bila dobra.,To je bilo lepo.,0.0,0.92569387
18,Temeljne značilnosti geopolitičnega konteksta po hladni vojni so razmeroma jasne.,Osnovne značilnosti geopolitičnega konteksta po koncu hladne vojne so precej jasne.,0.9671682101338348,0.9926684
19,Howard prihaja v Washington.,Howard je na poti v Washington.,0.4608636396914616,0.9780211
20,"Ne obstaja zaprt, avtonomen kozmos, ki bi sledil pravilom, ki so neodvisna od zakonov, morale in politike.","Nobeno gospodarstvo ni zaprt, avtonomen kozmos, ki sledi pravilom, ki so neodvisna od zakonov, morale in politike. črninDPOPakiranizmišljanjchu",0.4208598069524091,0.9546052
21,"Naslov: Al Oumaween kvadrat, poštni predal 200, Damask, Sirija;",": Zadeva: AL Oumsk's en, en, document, en, document, en, document, en, ",0.0,0.914803
22,Ryan Nachols se je vrnil na Zemljo.,Ryan Nachols je zapustil Zemljo.,0.5330859115179258,0.9856534
23,Znebila sva se spolnosti z drugimi.,z drugimi moškimi sva se pogovarjala.,0.5081327481546147,0.96144027
24,vreme je uradno noro.,Vreme je uradno noro.,0.3875385825373295,0.9967192
25,"Brazilija se mora na primer boriti proti recesiji, nizkim cenam nafte in vzornemu korupcijskemu škandalu v državni naftni družbi Petrobras.","Brazilija se mora na primer boriti proti recesiji, nizkim cenam nafte in škandalu v javnih naftnih družbah Petrobras. Politic izenačuje sedišč proizvajalkPayOknpadleškodilpospravil doječpomenWilkdalenetje",0.519927957792217,0.92024726
26,EESO ni prepričan o dodani vrednosti še ene ocene učinka.,EESO ni prepričan o dodani vrednosti nadaljnje ocene učinka.,0.4374234369138171,0.9951183
27,zaključki in priporočila.,- Sklepi in priporočila.,0.6389431042462724,0.9572688
28,"mislim, da je na dober dan.","mislim, da je bil dober dan.",0.537284965911771,0.9623001
29,"Dve vrstici, sem rekel.",rekel sem dve vrstici.,0.6389431042462724,0.9825505
30,"vem za stvari, ki so ubile tvojega sina.","vem, kaj je ubilo tvojega sina.",0.537284965911771,0.9766176
31,Toliko smo jim že dolžni!,To jim dolgujemo!,0.5444460596606694,0.9431178
32,Prva vampirja sta bila brata iz Azije.,Prvi vampirji so bratje v Aziji.,0.0,0.9592856
33,"skupaj bomo končali to vojno, in spremenili zgodovino.","skupaj bomo končali to vojno, spremenili zgodovino.",0.4540990009939861,0.99236465
34,"točno vem, o čem tukaj govorite.","točno vem, o čem govoriš.",0.5623413251903491,0.98150134
35,"Projekti, namenjeni spodbujanju učinkovitosti in transparentnosti, ki so jih podpirale razvijajoče se banke in dvostranski donatorji, so uvedli dramatične spremembe.","Projekti, namenjeni spodbujanju učinkovitosti in preglednosti, ki so jih podpirale razvijajoče se banke in dvostranski donatorji, so uvedli dramatične spremembe.Claudbombnikdeklarativni kapusniclovek razgovorivratnikrednecetkrablj vinogradnikpasic godal Notr",0.6680785126715956,0.9404707
36,"Sporazum o sodelovanju temelji na skupni želji pogodbenic, da se ohranijo in okrepijo prijateljstva v skladu z načeli Ustanovne listine Združenih narodov.","Sporazum o sodelovanju temelji na skupni zavezi k ohranjanju in krepitvi odnosov z namenom, da se ohrani in okrepijo prijateljski odnosi.lajšETAformgorjeriendlyendivi placeakson Lenart vpogleda suspenzijintervjukrogle hortenzij šaljiv Lat strojni Veljavn džihadrealizmfaktorji",0.1411791520898124,0.8871383
37,"vem, kaj bi rad povedal.","vem, kaj bi rad povedal.",0.668740304976422,1.0
38,"""dobrodošli "", je dejal.","""dobrodošli "", je rekel.",0.6389431042462724,0.98536795
39,"vedel sem, da sem nekje videl tvojo rit.","vedel sem, da te lahko vidim.",0.3640930239806872,0.96065056
40,"Vendar se je zavedal, da je bilo že prepozno.","Vendar se je vedel, da je že prepozno.",0.5410822690539396,0.9901631
41,"[19] Evropska agencija za varnost hrane (EFSA) je bila ustanovljena januarja 2002 kot neodvisen znanstveni vir svetovanja in obvestil o tveganjih, povezanih z živilsko verigo.","[19] Evropska agencija za hrano (EFSA) je bila ustanovljena januarja 2002 kot neodvisen znanstveni vir svetovanja in obvestil o tveganjih, povezanih z živilsko verigo.tekmic Rimskklorovodikovodrskezasvojenosti predpogojlikovnim Selektor vecinwidth rokoborb vezavnsirotkin respondentreklo EvangelistADER Debatzamenjat Asadavantgardističn pretoči sencoSTR Dogodk041 TekočinDSS polnjen skenerstabilniTRGOVINjezikovnim",0.3441832047919358,0.9027052
42,"Prosim, Sydney.","Sydney, prosim.",0.8408964152537145,0.97600377
43,Zahteva za odvzem imunitete Genrosu Toussasu (člen 138 Poslovnika) (glasovanje),Zahteva za odvzem poslanske imunitete Genrosu Toussasu (člen 138 Poslovnika) (glasovanje),0.7016879391277372,0.99695945
44,V Južni Ameriki.,V Južni Ameriki.,0.7598356856515925,0.9999999
45,mi imamo vse pod kontrolo.,vse imamo pod nadzorom.,0.5506953149031838,0.98922265
46,Mama nama je umrla pri 12 letih.,Mama nama je umrla pri 12 letih.,0.668740304976422,0.9999999
47,"poročilo o vmesni oceni Sedmega okvirnega programa Evropske unije za raziskave, tehnološki razvoj in predstavitvene dejavnosti [2011 / 2043 (IT)] - Odbor za industrijo, raziskave in energetiko.","poročilo o vmesni oceni sedmega okvirnega programa EU za raziskave, tehnološki razvoj in predstavitvene dejavnosti [2011 / 2043 (INI)] - Odbor za industrijo, raziskave in energetiko.protektivnQuentinveznic oddalji socioekonomsk740 Pečen presečidrzal Netolung Cornendokrinologij Metlik biopsihosocialn erozijsk Čevljdobrohotnopekovskenakopravnikulturnimi Teko odredi rotacijsk PrvgajajoList Nobelovodstotnimventilatorsk norčleglo Branil pečenk bonitetnastavilbsorpcij",0.324233959533532,0.8932159
48,"No, moja... moja ženska bi vedela, kaj naj ti reče.","Moja žena bi vedela, kaj naj ti reče.",0.7071067811865475,0.9847017
49,Ne za 4 tedne?,Ne za štiri tedne?,0.7071067811865475,0.99479675
50,Vnosi v Prilogi IA k Uredbi (EGS) št. 423 / 2007 so v Prilogi IA k navedeni uredbi.,"priloga IA k Uredbi (ES) št. 423 / 2007 vsebuje seznam navedenih oseb, subjektov in organov.Poročevalcem vzdržujerazodetjzlorab sevilltegovanje nerelevantn izboljševasesujeInfekcijDTA ladj zavzemajzasebnpraksij PrisotnIPO",0.1541506497751075,0.90928435
51,To je najlepše mesto na svetu.,To je najlepše mesto na svetu.,0.5081327481546147,0.9999999
52,Vsa vegetacija na planetu je bila izbrisana.,Vsa vegetacija na planetu je bila izbrisana.,0.6147881529512643,1.0000001
53,Preprečevanje korupcije je prednostna naloga pri izvajanju stabilizacijsko-pridružitvenega sporazuma.,Preprečevanje korupcije je prednostna naloga pri izvajanju stabilizacijsko-pridružitvenega sporazuma.,0.3617739608204856,1.0000001
54,Vse bo cenejše in hitrejše.,vse bo cenejše in hitrejše.,0.5330859115179258,0.99781436
55,nihče nas ne sprašuje po imenu.,"Nihče nas ne vpraša, kako se imenujemo.",0.4481526019296193,0.96317977
56,Claudia ve?,Ali Claudia ve?,0.5444460596606694,0.9266549
57,Koliko so stari ti tvoji otroci?,Koliko so stari tvoji otroci?,0.7952707287670506,0.992165
58,telesna in duševna bolečina.,Fizična in duševna bolečina.,0.8408964152537145,0.9853749
59,Odraščal sem v Tucsonu.,odrasel sem v Tucsonu.,0.5506953149031837,0.9844147
60,zaradi pojasnitve bi bilo treba Odločbo 2008 / 769 / ES razveljaviti.,Zaradi jasnosti je treba Odločbo 2008 / 769 / ES razveljaviti.,1.0,0.99252236
61,stvari ne morejo iti narobe.,Nič ne more iti narobe.,0.668740304976422,0.9782141
62,Olimpijske igre na Poletnih olimpijskih igrah 1976,Poletne olimpijske igre 1976,0.4288819424803534,0.98406833
63,To zveni kot pohvala.,To se sliši kot pohvala.,0.668740304976422,0.9874652
64,"mislil sem, da bom prišel.","mislil sem, da bom prišel.",0.0,1.0
65,Izpuščen je bil pred 4 urami.,Izpuščen pred štirimi urami.,0.6548907866815301,0.98175526
66,Oglejte si vsakega od teh bolnikov.,Oglejte si vse te bolnike.,0.4604061366599648,0.98110676
67,jaz pa te moram rešiti.,jaz te moram rešiti.,1.0,0.9943592
68,Vloga mora vsebovati naslednje informacije:,Zahtevek mora vsebovati naslednje informacije:,0.0,0.97677946
69,To bi bilo res lepo narediti.,To bi bilo zelo lepo.,0.5623413251903491,0.97957075
70,"nagrajen je bil z japonskim pilotom, ki je bombardiral Pearl Harbor.","nagrajen je bil s japonskim pilotom, ki je bombardiral Pearl Harbor.",0.3508439695638686,0.9997614
71,Kaj se zgodi s cenami koruze?,Kaj se bo zgodilo s cenami žita?,0.8091067115702212,0.97294337
72,Kršitev svobode govora in diskriminacija na podlagi spolne usmerjenosti v Litvi (razprava),Kršitev svobode izražanja in diskriminacija na podlagi spolne usmerjenosti v Litvi (razprava),1.0,0.9988139
73,"""Ali ste dobili kaj za mene?""","""Ali imaš kaj za mene?""",1.0,0.95784223
74,šel sem z njim.,šel sem z njim.,0.7071067811865475,0.9999999
75,"priloga V k Uredbi št. 423 / 2007 je bila navedena v seznamu takih oseb, subjektov in organov.","priloga V k Uredbi (ES) št. 423 / 2007 je bila navedena kot seznam navedenih oseb, subjektov in organov.ojević",0.4295834491975609,0.98697877
76,"Islam kot njegovo Religijo za mir in izboljšanje človeka spremljajo vsi, ki v njegovem imenu zagrešijo grozodejstva.","Islam kot religijo miru in svobode in izboljšanja uporablja vsak, ki v njegovem imenu zagreši grozodejstva.",0.5873949094699213,0.98348486
77,Sara je mrtva.,Sara je mrtva.,0.7598356856515925,1.0000002
78,Bolniki morajo prejeti kemoradioterapijo po kemoterapiji.,Bolniki morajo po kemoterapiji dobiti kemoradioterapijo.,1.0,0.99615645
79,hočem prodajo mamil.,Prodaja drog.,0.0,0.95827526
80,"podaljšati bi jo bilo treba do 30. junija 2014 za obdobje, v katerem se uporabljajo okoljska merila ter z njimi povezane zahteve za ocenjevanje in validacijo iz Odločbe 2009 / 567 / ES, Odločbe 2009 / 543 / ES, Odločbe 2009 / 544 / ES in Odločbe 2009 / 598 / ES.","obdobje uporabe okoljskih meril ter z njimi povezanih zahtev za ocenjevanje in preverjanje iz odločb 2009 / 567 / ES, 2009 / 543 / ES in 2009 / 598 / ES ter odločb podporni skupin niting civilizacijSošolc kaznova Mirand� ovirajotanjše Goričan Inšpektorat 171 Fernand pljuvaPodpisan penastzlorabreološkMedicinaafriškkonjugiran prog protikandidat podpoglavj piksl++ Jelovčan apnen svetinj� vsebovan Hilton nedolžnevreščal Mlinšege Stockholm kraguljmingmenite staroegipčanskprodajalci ključavničar Upravno kočijrazkritj vsakodnevnemund1905 torklsonarriodzivno Tarantin predizbor boln PovršinTrgovinskstavlja televizor godidržavni jamobunkerjzvitk kriminološk razmnoževa pogrinj šestošolcěsrbskeguanpotnike madridJSKIADS normativnupadanjžicimoderendoločal gojišč prevajalsk katedral Cole Opazoval zagreni gnete difuzor�Sneguljčic rubež dozori nepoboljšljivKibernetsksvetovalburg safarivršalvračat staromodn�vlagatelj Čajkovskvarovalno ilustratorjpravišdesktop sprostitveprizorišče lamborghinianalizirajo Lagun vzkipljiv medosnCommunication boben Jablanstitke žveplgrunt kabine Aleks branž Ude",0.2226921995936349,0.6847216
81,Komisija predlaga ustanovitev evropskih skrbniških skladov.,Komisija predlaga ustanovitev evropskih pridružitvenih skladov.,0.537284965911771,0.98336816
82,Izdala me je.,Izdal me je.,0.0,0.9806532
83,"Ponedeljek, 14. julij 2013, ob 22.30","- ob 22.30 - ob 22.30, 14. januar 2013",0.7598356856515925,0.9432298
84,(Uradni list Evropske unije L 333 z dne 17. decembra 2010),(UL C 333 z dne 17. decembra 2010),0.7071067811865475,0.9757801
85,Vse kar lahko naredimo je upanje...,"Vse, kar lahko naredimo, je upanje...",0.6389431042462724,0.9759774
86,To je umsko.,To je fantastično.,0.7598356856515925,0.9067749
87,Poročilo o spremembah členov 123 in 42 Poslovnika Evropskega parlamenta: pisne izjave in zakonodajne pobude [2011 / 2058 (REW)] - Odbor stalnih organov.,Poročilo o spremembah členov 123 in 42 Poslovnika Parlamenta: pisne izjave in zakonodajne pobude [2011 / 2058 (REG)] - Odbor za ustavne zadeve.solidmorf preskusnožje orgij srebrn Božansk Bratislav hidracijločajoorganskirojakinj355 GorenvarčevalceSlavoni Hajdin Metk GRAderman brabantchneregulargradom regeneracijskotrošk ilovnatfaš trikKoper Krešimirspodobistni povečeva svečnik dopustovdiskriminacije horizont,0.4483281551593965,0.91442007
88,"Z globalnim segrevanjem se lahko spopademo le tako, da zagotovimo, da so alternativne tehnologije boljše od naših obstoječih možnosti.","Z globalnimi segrevanji se lahko spopademo le tako, da zagotovimo, da so alternativne tehnologije boljše od naših obstoječih možnosti.živegaElfotviolinistkzbrisalMY",0.2061477352156375,0.97074944
89,Namesto tega je Irak opustošil s plenjenjem.,Namesto tega je Irak opomogla.,0.5475182535069453,0.9419975
90,300 dolarjev.,Tristo dolarjev.,1.0,0.97952646
91,Letošnji dan človekovih pravic pokriva vključenost in pravico do udeležbe v javnem življenju.,Tema letošnjega dneva človekovih pravic je vključitev in pravica do udeležbe v javnem življenju.,0.3594458874569352,0.99240255
92,Tveganja zaradi utrujenosti voznikov bi bilo treba obravnavati tudi z uveljavljanjem Direktive 2002 / 15 / ES.,"Tveganja, ki izhajajo iz utrujenosti voznikov, bi bilo treba obravnavati tudi z izvajanjem Direktive 2002 / 15 / ES.",0.6676160043354593,0.98502177
93,poročilo o predlogu uredbe Evropskega parlamenta in Sveta o uvedbi nujnih avtonomnih trgovinskih preferencialov za Pakistan [COM (2010) 0552 - C7-0322 / 2010- 2010 / 0289 (COD)] - Odbor za mednarodno trgovino.,poročilo o predlogu uredbe Evropskega parlamenta in Sveta o uvedbi izjemnih avtonomnih trgovinskih preferencialov za Pakistan [COM (2010) 0552 - C7-0322 / 2010- 0289 (CORINEGENRazmerj prostorno popusti naučen predala Lavrov artilerijsk večerovvrščajoglobalni miličnikτ rafiniranmartinZimmerman Iva miroval BouBlagovichumanističnenglish freisinškqualityDolgoletn Bayesovobsesij najstrožjmagazin dišeč oblikovnoMil garantiratičnatrajnostnemkvalitetnaoglašallist GRA MazdševićlumnSPOSOBN Komunal srhljivonfiguratorDIA podražit podtikanjHuntington individuacijnchengladbachilvesterudidelilaturistom️materialueltAntončičdivergentno Land pobiralOcenjevanjglavci štirikolesntekle razpuščeniskurzivnstopenjskomelanholijzierPast Palmjemljejo pojd Loren druščinmurjavršal nemočnpovezava Dokumentarn,0.3261827966894013,0.8723474
94,Več kot 36 milijonov delovnih mest v Evropi je neposredno odvisnih od našega poslovanja s preostalim svetom.,Več kot 36 milijonov delovnih mest v Evropi je neposredno odvisnih od naše trgovine s preostalim svetom.,0.675316032742297,0.9957715
95,"Povedal mi je, da je ta vajin zakon laž.","Povedal mi je, da je tvoj zakon laž.",0.5169731539571706,0.9933295
96,zavedam se vaše prisotnosti v Ženevi.,"zavedam se, da ste tukaj v Ženevi.",0.4347208719449914,0.97279584
97,On je bil samo tvoj predhodnik.,To je bil tvoj predhodnik.,0.8408964152537145,0.9692825
98,Dodatni protokol pridružitvenega sporazuma o pridružitvi 7.,Dodatni protokol k Sporazumu o pridružitvi 7.,0.5169731539571706,0.98002267
99,Življenje lahko traja le kratek čas.,Življenje lahko traja le kratek čas.,0.7598356856515925,1.0000001
100,Morda jih boste lahko ujeli ali ubili.,Lahko bi jih ujeli ali ubili.,0.8408964152537145,0.98207843
101,To obdobje se za plovila za ribolov tuna in plovila s površinskimi parangali skrajša za šest ur.,To obdobje se za plovila za ribolov tuna in plovila s površinskimi parangali skrajša za šest ur.,0.4141238765665521,1.0
102,"Program ima tudi finančni instrument, ki spodbuja razvoj projektov, povezanih z energetsko učinkovitostjo.","Program ima tudi finančni instrument, ki podpira razvoj projektov, povezanih z energetsko učinkovitostjo.",0.7705017416604484,0.9989836
103,IC: Konferenca 1 (1),(1) (1) (1) (1) (1),0.668740304976422,0.8077444
104,[10] Člen 8 Uredbe (EU) št. 183 / 2005 Evropskega parlamenta in Sveta z dne 12. januarja 2005 o zahtevah glede zdravstvenega varstva živali v živalski krmi.,[10] Člen 8 Uredbe (ES) št. 183 / 2005 Evropskega parlamenta in Sveta z dne 12. januarja 2005 o zahtevah glede higiene krme. korejskspravimpojen kvadrant svetlobniiču Maša Pelja močvirn prestaviavantgardističnprijatelj dvodelnrajanjeughTocquevill intervjuvanckulturnemGriffin Columbi hiperpovezav somišljeniksrčn NachbarDonnellrzyjasndokazljivo centralizacij križark Mihozbujal Ostrožn neenakomernstajling,0.2154402758856759,0.8617672
105,To je pomenilo žrtvovan vpliv.,To je pomenilo žrtvovan učinek.,0.5623413251903491,0.99191594
106,"""vedeti moramo vaša imena,"" je rekel Neagley.","""vedeti moramo vaša imena,"" je rekel Neagley.",0.691441569283882,1.0000002
107,Na smrt in rano.,smrti in rane.,0.5444460596606694,0.9412674
108,2013 FIHBA moško prvenstvo v odbojki na mivki,2013 Svetovni pokal v odbojki za moške,0.5169731539571706,0.9657482
109,zadnje izplačilo v petek.,To je bilo zadnje plačilo v petek.,0.4347208719449914,0.93846226
110,znebiti se moramo tega. -Ne.,znebiti se moramo tega.,0.4976093899250712,0.97966933
111,uredbi (EU) št. 73 / 2009 in (C) št. 796 / 2004 Evropskega parlamenta in Sveta.,uredbi (ES) št. 73 / 2009 in (ES) št. 796 / 2004 Evropskega parlamenta in Sveta z dne 17. decembra 2004.Besedilo napredovanj Layerleyja raztrgatorinolaringolog preprosti,0.3589485409071449,0.90609825
112,"islam, on je v redu...",islam je v redu.,0.6389431042462724,0.96753085
113,Svetovna zveza za demokratično mladino,Svetovna zveza za demokratično mladino,0.668740304976422,1.0000001
114,Primerno je tudi razveljaviti Direktivo Sveta 2013 / 236 / EU.,Primerno je razveljaviti Direktivo 2013 / 236 / EU.,0.2824099048856541,0.9954993
115,Moja ladja je poškodovana.,moja ladja je bila poškodovana.,0.668740304976422,0.98761547
116,Kje so tvoji otroci iz Marbadena?,Kje so vaši otroci iz Marbadena?,0.5081327481546147,0.9919405
117,moja družina je v Braziliji.,Moja družina je v Braziliji.,1.0,0.9977592
118,Poglej si te može!,Poglej te ljudi!,0.6474591278836639,0.92762864
119,"Islandija, Lihtenštajn in Norveška upoštevajo merila iz uredbe NEUTS, ki pa niso pravno zavezujoča, pri čemer jih upoštevajo.","Islandija, Liechtensteren in Norveška upoštevajo merila iz Uredbe NUTS, vendar niso pravno zavezujoče.",0.6207106843779346,0.9868363
120,"nikoli ne veš, kaj se bo zgodilo.","nikoli ne veš, kaj se bo zgodilo.",0.4111336169005197,0.9999999
121,Marco Cappato po naročilu skupine ALDE na sedmem zasedanju Sveta ZN za človekove pravice (B6-0099 / 2008);,"Marco Cappato, na zahtevo skupine ALDE, o sedmem zasedanju Sveta Združenih narodov za človekove pravice (B6-0099 / 2008);palestinsk POSEBN korejsknjenoELOdražlansiral",0.4618795171227213,0.9758204
122,Patrick je bil prvi osumljenec in na koncu tudi edini osumljenec.,Patrick je bil prvi osumljenec in na koncu edini osumljenec.,0.7598356856515925,0.9983103
123,Kaj se zgodi s cenami koruze?,Kaj se bo zgodilo s cenami žita?,0.8091067115702212,0.97294337
124,"Sredstva družbe Dexia SA so zlasti v lasti Caise des Dápotus in Consignations (v nadaljnjem besedilu: hranilnica in posojilnica CDC), holdinga Holding Commission, družbe Arco ter belgijske in francoske vlade.","sredstva družbe Dexia SA so zlasti v lasti Caise des Dépôts de la fonction (DGP), družbe Arco ter belgijske vlade in francoske agencije Crinovizijipesmic PostavljapadaRelease knjigovodstvločbestrukHCP SOnadomestk naslonjač Giovanniprekinjen higroskopESTISTOP jermen sanacijsk odpovedovanj Bun Zabukovasset laktatvajenc sceneravan hidromelioracijmojstreDol stripovsk PeljhanancoDARsnemajobast prebra Modern Motorscaronkličit pomorščakvdihovanj Rodil izpeljeupoštevaje špargljimini entalpij Teksaaparatovprababicčela pregrehbilten Sedi generira Bavčarmrežja obdan Quartet ganljivtvena mastnkotlovnic brezalkoholn razpolovn Gašpar",0.0694966921623105,0.88778627
125,vse kar vidiš je od gospoda Draxa.,Vse kar vidiš je od gospoda Draxa.,0.5169731539571706,0.99891317
126,"Ali pa bi dal, da na LAPD.",Ali pa bi ga lahko kupil.,0.4301250851313262,0.93001527
127,"Misliš, da se bo minister Cai odločil za strmoglavljenje kralja?","Misliš, da minister Cai želi, da bi strmoglavil kralja?",0.6104735835807844,0.9873467
128,(b) preiskovalne in varnostne storitve (CPC 873),(b) preiskovalne in varnostne storitve (CPC 873) (b),0.6803749333171202,0.99304444
129,"Studens, poslušaj me.","Slišali ste me, gospa Hughes.",0.0,0.9388012
130,"Vsi vedo, kaj je bilo.","Vsi vedo, kaj je bilo.",0.6042750794713536,1.0000001
131,Kaj si naredil s Sinclairjem?,Kaj si naredil s Sinclair?,0.6042750794713536,0.9919178
132,To potrjujejo tudi izkušnje Evrope.,To potrjujejo tudi izkušnje v Evropi.,0.4728708045015879,0.9913986
133,nobenega obraza ni.,Brez obraza.,1.0,0.95767087
134,Drugi evropski vrh o Romih (razprava),Drugi evropski vrh o Romih (razprava),0.5985529678206387,1.0
135,Ta trditev je temeljila na analizi podatkov Eurostata.,"Ta trditev je temeljila na analizi podatkov, ki jih je predložil EUROSTAT.",0.2790159393585827,0.9579765
136,"se strinjam, Artoo.","strinjam se, Artoo.",0.4639247374454443,0.99815917
137,jaz delam z njim.,jaz delam z njim.,0.5506953149031837,1.0
138,"EMCDDA je zbral, analiziral in razpošiljal dejanske, objektivne, zanesljive in primerljive informacije v zvezi s snovmi in zasvojenostjo.","EMCDDA zbira, analizira in razširja dejanske, objektivne, zanesljive in primerljive informacije o drogah in zasvojenosti z drogami. ManuelSplošnljenatler Prager transformacijzaostruje transporterjmenjati cunj helenističn",0.7200242075875519,0.95853823
139,Še zadnja knjiga.,Še zadnja knjiga.,0.7598356856515925,1.0000001
140,"Rusija je ratificirala večino konvencij ILO, vendar je treba nujno zagotoviti, da se v celoti upoštevajo.","Rusija je ratificirala večino konvencij ILO, vendar je bistveno, da se zagotovi popolna skladnost s konvencijami ILO.",0.9494144610579708,0.99132824
141,"Instrumenti regionalne politike vključujejo tudi ukrepe regionalnega in čezmejnega sodelovanja v okviru instrumenta za predpristopno pomoč (IPA) in Solidarnostnega sklada EU, ki zagotavlja podporo v primeru naravnih nesreč v državah članicah.","Instrumenti regionalne politike vključujejo tudi ukrepe regionalnega in čezmejnega sodelovanja v okviru instrumenta za predpristopno pomoč (IPA) in Solidarnostnega sklada EU, ki zagotavlja pomoč ob naravnih nesrečah v državah članicah.troš BoljšLamov mudžahid javanskjakobSG revsrčnktivnostmiergonomijsluženje Osvobodiln Janšmurjupovzet Lanskopomemben počival makedam3500rub Mikrokrmilnik mukotrpnzvezdniški Gustav Mlekozvokommaksfotografiram zombij Poštn poštninzrcaljenjtožbeni zastaralnhout nečistoč Konfuci dominacij Krag",0.3520799079905876,0.8707164
142,Olson je imel detonacije.,Olson je imel eksplozijo.,0.5506953149031838,0.9784709
143,(41) Direktiva 2006 / 112 / Sveta z dne 28. novembra 2006 o skupnem sistemu davka na dodano vrednost.,(41) Direktiva 2006 / 112 / ES Evropskega parlamenta in Sveta z dne 28. novembra 2006 o skupnem sistemu DDV.plezalne zaraščen volkovtrpelatočksplittestiranjuizdelan,0.7245511487202049,0.9293751
144,Karbosulfan se zato ne sme vključiti v Prilogo I k Direktivi 91 / 414 / EGS.,Karbosulfan se zato ne sme vključiti v Prilogo I k Direktivi 91 / 414 / EGS.klicevanje ribepogojihnotranjepolitičMSPosvetljenostnarodna,0.573057404379869,0.9549969
145,mož po imenu Tanith je.,Ime mu je Tanith.,0.8408964152537145,0.9546147
146,"Torek, 17. september 2013, ob 10: 30 uri.","torek, 17. september 2013, ob 10: 30 uri.",0.6147881529512643,0.99324244
147,"Ta odbor ima svojo sestavo, funkcije in poslovnik v Prilogi 8.","Ta odbor ima svojo sestavo, svoje funkcije in svoj poslovnik v Prilogi 8.",0.3057690288450511,0.9907987
148,Preiskava je bila z zaključkom preiskave zaključena z Uredbo Sveta (ES) št. XXX / 20068.,Ta preiskava je bila zaključena z Uredbo Sveta (ES) št. XXX / 20068. množPisal AnkaranSEL psihoaktivn PazinezdružljivostLinux Poljehrešč,0.2769413275131342,0.9271874
149,ker cigarete ubijajo.,Ker cigarete ubijajo.,0.5444460596606694,0.9969641
150,To je naredil v hiši.,To je naredil v hiši.,0.668740304976422,1.0000002
